team,year,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
LAL,1981,3919,7585,1549,2161,1258,2505,3763,2356,1999,848,1468,517,13,0,9400,3745,7679,1433,2008,1275,2255,3530,2319,2004,718,1483,435,78,0,9001,105.86531,57,25
MIL,1981,3544,7015,1753,2329,1167,2415,3582,2233,2281,763,1589,455,49,0,8890,3297,7066,1790,2470,1172,2155,3327,2016,2189,720,1538,350,57,0,8441,102.62704,55,27
NJN,1981,3501,7227,1714,2354,1194,2320,3514,2096,2295,918,1650,481,30,0,8746,3343,6934,1946,2597,1142,2346,3488,1931,2164,832,1809,539,58,0,8690,105.53943,44,38
NYK,1981,3523,7178,1603,2171,1168,2273,3441,2075,2195,719,1486,338,58,0,8707,3541,7018,1793,2369,1125,2366,3491,2089,2017,703,1462,358,51,0,8926,101.82951,33,49
PHI,1981,3616,6974,1846,2471,1031,2389,3420,2264,2183,856,1474,622,41,0,9119,3371,7083,1852,2496,1289,2344,3633,1965,2216,702,1615,470,55,0,8649,102.81392,58,24
PHO,1981,3508,7140,1635,2157,1123,2517,3640,2223,2029,753,1528,429,54,0,8705,3350,7186,1671,2215,1158,2366,3524,1949,2064,775,1391,360,51,0,8422,102.0657,46,36
POR,1981,3629,7187,1719,2387,1142,2355,3497,2054,2012,706,1390,367,29,0,9006,3637,7293,1629,2149,1221,2367,3588,2114,2142,708,1452,427,54,0,8957,102.4716,42,40
SAS,1981,3698,7613,1812,2335,1253,2537,3790,2257,2217,600,1293,555,64,0,9272,3566,7385,1893,2497,1151,2434,3585,2036,2179,611,1352,429,58,0,9083,104.951,48,34
SDC,1981,3552,7101,1693,2341,1131,2196,3327,1878,2353,636,1570,299,99,0,8896,3739,7105,1988,2647,1033,2276,3309,2129,2124,772,1334,487,36,0,9502,103.59502,17,65
SEA,1981,3505,7178,1747,2362,1103,2544,3647,2103,2057,691,1351,460,38,0,8795,3411,7407,1586,2183,1241,2420,3661,1994,2150,660,1405,311,48,0,8456,102.7252,52,30
UTA,1981,3679,7446,1714,2282,1147,2362,3509,1895,2196,700,1435,357,22,0,9094,3835,7530,1837,2466,1253,2599,3852,2148,2052,663,1413,420,51,0,9558,105.84573,25,57
WA1,1981,3400,7168,1626,2105,1047,2583,3630,1983,2072,643,1390,397,59,0,8485,3362,7229,1645,2237,1110,2516,3626,1889,1907,624,1325,543,44,0,8413,101.93153,43,39
ATL,1982,3352,7146,1586,2111,1139,2433,3572,1945,2022,573,1424,665,45,0,8335,3383,7201,1608,2235,1303,2571,3874,1927,1981,656,1468,388,39,0,8413,100.98724,43,39
BOS,1982,3711,7547,1730,2348,1273,2532,3805,2216,2062,789,1541,521,39,0,9191,3477,7401,1750,2307,1186,2393,3579,2027,2137,699,1607,340,48,0,8752,106.88575,56,26
CHI,1982,3537,7373,1983,2690,1267,2527,3794,2086,2192,666,1743,400,45,0,9102,3816,7712,1825,2438,1197,2456,3653,2230,2266,845,1462,633,46,0,9503,109.28586,28,54
CLE,1982,3252,6995,1430,1983,1173,2414,3587,1738,2236,617,1538,290,30,0,7964,3381,6911,1780,2396,974,2382,3356,2005,1830,621,1275,431,32,0,8574,99.715149,23,59
DAL,1982,3674,7550,1852,2462,1296,2381,3677,2227,2067,552,1348,348,43,0,9243,3758,7481,1708,2347,1217,2433,3650,2291,2227,607,1383,562,53,0,9277,104.95028,38,44
DEN,1982,3951,7999,2179,2696,1214,2524,3738,2336,2091,789,1496,352,24,0,10105,4098,8120,1787,2393,1369,2697,4066,2389,2356,728,1636,611,71,0,10054,114.27103,45,37
DET,1982,3623,7602,1921,2588,1312,2477,3789,2108,2122,679,1557,572,72,0,9239,3802,7679,1647,2287,1266,2594,3860,2252,2326,761,1580,561,21,0,9272,108.69768,37,45
GSW,1982,3627,7508,1620,2199,1281,2284,3565,1964,2138,856,1606,430,34,0,8908,3706,7260,1751,2391,1249,2495,3744,2170,2026,758,1690,489,42,0,9205,106.09039,30,52
HOU,1982,3338,7446,1402,1934,1206,2260,3466,1931,2131,646,1571,422,67,0,8145,3641,7244,1781,2375,1198,2710,3908,2252,1933,772,1504,406,33,0,9096,104.29755,14,68
IND,1982,3707,7723,1447,1910,1299,2294,3593,2150,2086,755,1535,411,50,0,8911,3768,7284,1815,2413,1206,2564,3770,2237,1886,761,1643,439,40,0,9391,106.26276,20,62
KCK,1982,3719,7485,1839,2530,1256,2407,3663,2155,2432,765,1691,409,51,0,9328,3531,7250,2107,2885,1250,2403,3653,1997,2245,809,1716,439,40,0,9209,108.90075,45,37
LAL,1982,3964,7512,1495,2031,1235,2433,3668,2519,1931,844,1584,479,10,0,9433,3734,7617,1455,2008,1294,2166,3460,2389,1863,766,1562,380,55,0,8978,105.90641,58,24
MIL,1982,3486,7133,1731,2299,1095,2477,3572,2116,2131,662,1447,532,37,0,8740,3338,7318,1665,2243,1303,2343,3646,2043,2145,623,1523,300,38,0,8379,102.87436,51,31
NJN,1982,3510,7140,1622,2301,1266,2427,3693,2143,2166,911,1873,592,30,0,8672,3327,6962,1746,2370,1102,2176,3278,1978,2129,860,1871,495,45,0,8445,105.96733,49,33
NYK,1982,3272,6793,1621,2282,1080,2263,3343,2034,2180,701,1509,378,33,0,8198,3132,6592,1695,2260,1073,2337,3410,1873,2116,694,1682,399,38,0,7997,99.248085,44,38
PHI,1982,3600,7212,1966,2650,1334,2596,3930,2016,2041,812,1627,577,25,0,9191,3442,7470,1624,2253,1325,2263,3588,2089,2246,755,1590,511,54,0,8562,105.14586,65,17
PHO,1982,3555,7158,1626,2189,1094,2518,3612,2300,2062,749,1545,495,40,0,8776,3305,7265,1707,2268,1210,2326,3536,1988,2039,712,1560,343,44,0,8361,103.86312,53,29
POR,1982,3459,7124,1855,2512,1180,2380,3560,2030,1960,749,1495,384,35,0,8808,3503,7211,1572,2046,1126,2364,3490,2072,2232,658,1546,500,55,0,8633,103.20097,46,36
SAS,1982,3697,7340,1887,2468,1232,2599,3831,2261,2095,675,1504,469,94,0,9375,3654,7531,1716,2239,1160,2263,3423,2329,2199,654,1430,457,51,0,9075,105.67022,53,29
SDC,1982,3625,7634,1589,2195,1394,2108,3502,2087,2284,820,1600,408,64,0,8903,3652,6910,1963,2626,1095,2365,3460,2105,1962,789,1723,519,32,0,9299,105.76184,25,57
SEA,1982,3597,7277,1796,2459,1152,2569,3721,2278,1969,677,1533,437,29,0,9019,3546,7703,1615,2184,1314,2397,3711,2146,2152,726,1443,360,49,0,8756,105.9654,48,34
UTA,1982,3525,7342,1844,2440,1093,2550,3643,2176,2017,758,1683,595,44,0,8938,3794,7932,1646,2288,1439,2671,4110,2202,2102,826,1601,448,48,0,9282,109.43091,30,52
WA1,1982,3306,7059,1452,2059,1099,2430,3529,2046,1958,733,1588,400,70,0,8134,3299,7044,1510,2084,1114,2514,3628,1871,1975,698,1543,555,37,0,8145,101.80122,42,40
ATL,1983,3230,6809,1838,2414,1112,2232,3344,1827,2091,626,1329,558,23,0,8321,3277,6845,1834,2380,1191,2410,3601,2026,2087,579,1409,424,39,0,8427,97.89959,40,42
BOS,1983,3616,7235,1907,2407,1159,2538,3697,2122,1949,673,1420,430,55,0,9194,3463,7372,1659,2143,1101,2227,3328,1957,2090,703,1329,328,71,0,8656,103.33683,62,20
